date,amount,description,reference,balance
2026-02-11,4541,SWIGGY garden 205,,17865
2026-04-18,-7916,UBER TRIP middle 997,,42594
2026-03-09,-7413,Amazon everything 736,,10133
2026-02-24,-4043,Swiggy India every 716,,75267
2026-04-08,-2283,Swiggy company 309,REF3317,58049
2026-02-26,7113,Uber India blood 947,,98081
2026-01-06,4658,Amazon India Pvt Ltd nature 661,,54641
2026-01-23,-2512,Swiggy India scientist 576,REF8542,78362
2026-03-24,8827,Tata Consultancy Services sense 459,,97123
2026-01-06,-9134,TCS product 136,REF5416,56672
2026-02-24,-5569,UBER TRIP throw 181,,62589
2026-03-11,-4309,TCS sign 971,REF8921,21769
2026-03-01,3153,Swiggy India relate 700,REF2169,59446
2026-02-06,4272,Tata Consultancy Services describe 442,,51073
2026-03-01,9451,TCS Ltd quite 245,REF5555,79727
2026-03-01,9451,TCS Ltd quite 245,REF5555,79727
2026-04-01,-2899,Tata Consultancy Services leader 360,,83121
2026-03-21,8517,Uber India local 255,REF6705,79503
2026-01-15,-7623,Amazon India Pvt Ltd enough 626,,92355
2026-02-02,-9695,SWIGGY prepare 290,,16731
2026-03-08,-292,Amazon India Pvt Ltd music 767,,24641
2026-01-11,-4191,AMZN girl 975,,96154
2026-04-16,-4326,Tata Consultancy Services action 140,,42368
2026-02-13,-1961,Tata Consultancy Services but 263,,47987
2026-01-31,-6521,Tata Consultancy Services author 211,REF7947,41806
2026-03-03,3513,Uber India spring 364,,17220
2026-04-09,-7362,UBER TRIP smile 849,REF2814,55798
2026-02-26,-9182,Uber India civil 434,REF5183,82878
2026-04-09,1808,SWIGGY today 505,REF9911,68434
2026-04-06,6999,Amazon India Pvt Ltd card 482,,97965
2026-01-08,-4982,Amazon India Pvt Ltd onto 697,,49117
2026-02-15,-5376,Uber six 384,,11400
2026-03-10,-3140,SWIGGY difference 317,,82183
2026-03-10,-3140,SWIGGY difference 317,,82183
2026-02-13,-6220,UBER TRIP bank 710,,45670
2026-02-21,-5664,Uber India nice 920,REF8021,12539
2026-01-27,-980,SWIGGY adult 248,,20680
